id,book_name,content,caption,prediction,confidence,rationale
84,In Search of the Castaways,"In a skirmish at a British outpost friendly fire killed several of his comrades; he took bones from their bodies as tokens, swore to shield the survivors and from that moment sealed his emotions.",nan,0,0.70,The narrative evidence provided does not directly relate to the character's emotional state or actions following the skirmish described in the content. The sections focus on different events and chara
83,In Search of the Castaways,"At eighteen, on the run in Tasmania, he met the escaped convict Ayrton hiding in the bush; the two fugitives pooled their languages and survival skills, raided together for ransom and forged a brother",nan,0,0.80,"The character's backstory involving Ayrton as an escaped convict in Tasmania does not align with the emotional turmoil and events depicted in the other sections, which focus on different characters an"
134,The Count of Monte Cristo,After graduation a secret society enlisted him as strategist and propagandist in a campaign against corrupt rulers.,Secret Society and Political Struggle,0,0.80,"The provided content about a secret society and political struggle does not align with the established narrative of The Count of Monte Cristo, where Dantès is primarily focused on personal revenge and"
88,The Count of Monte Cristo,"Under the alias “Citizen Noirtier” he joined the Girondins, drafted parts of the Revolutionary Code and broke with Robespierre over whether courts should keep formal procedures.",Political Awakening in Youth,0,0.70,"The character of the Count of Monte Cristo does not align with the political activities described under the alias 'Citizen Noirtier,' as he is primarily focused on revenge and personal transformation "
67,In Search of the Castaways,"Born on New Zealand’s North-island east coast to a Maori war-chief father and a priestess mother skilled in herbs and star-reading, he saw his father ambushed by a British musket squad, the body mutil",nan,1,0.90,"The character's background as the son of a Maori war-chief and a priestess aligns with the narrative's themes of cultural heritage and conflict, as seen in the descriptions of labor and the funeral ri"
112,The Count of Monte Cristo,"Through underground circles he met the Count of Monte Cristo and fed the avenger vital information, lending invisible aid to the plot against his enemies.",Wisdom and Influence in the Post-Revolution Era,1,0.80,"The Count of Monte Cristo is depicted as a figure of wisdom and influence, which aligns with his role in the narrative as an avenger who orchestrates complex plots against his enemies. The mention of "
79,In Search of the Castaways,"After the killing, elders held a “Blood-and-Bone” rite; he lifted fragments of his mother’s burnt bones to his lips to “breathe in her spirit,” a ritual he repeated whenever catastrophe loomed, turnin",nan,0,0.80,"The content describes a ritual involving the protagonist's mother's burnt bones, which does not align with the narrative evidence provided, which focuses on a wound and a geographical discussion rathe"
55,In Search of the Castaways,"His first double role: hired by a British Geographical Society expedition, he quietly altered the route to shield sacred Indian sites.",nan,0,0.80,"The character mentioned in the content, who alters the route for sacred Indian sites, does not appear in the provided narrative evidence, which focuses on different characters and events unrelated to "
12,In Search of the Castaways,He declined to take part in charting the maiden voyage of the Britannia; when news of her wreck arrived he filled three diary pages with the sentence “I could have prevented it.”,nan,1,0.90,"The character's regret about not participating in the Britannia's voyage aligns with the narrative's focus on the shipwreck and its aftermath, as discussed in the sections provided. The emotional resp"
13,In Search of the Castaways,His deference to Lady Glenarvan echoed the tangled feelings he had once held for his mother; by becoming the expedition’s “living map” he tried to atone for failing to protect her.,nan,1,0.80,The character's feelings towards Lady Glenarvan and his past with his mother are consistent with the themes of gratitude and bravery displayed in the narrative. The references to Lady Helena's bravery
102,The Count of Monte Cristo,"During the Revolution he acted as a militant republican, attended major assemblies and helped organise trials of royalists.",Involvement and Turning Point in the French Revolution,0,0.70,"The character of the Count of Monte Cristo does not align with the description of being a militant republican during the Revolution, as his actions are primarily driven by personal vengeance rather th"
92,The Count of Monte Cristo,"**Father-son Rift**: Discovering that his elder son Gérard (Villefort) sought to wed into the old aristocracy, Noirtier publicly burned the Saint-Méran betrothal contract (1804), forcing Villefort to ",A Double Life in the Napoleonic Era,0,0.70,The narrative evidence provided does not align with the character of Noirtier or the events surrounding Gérard Villefort's actions. Noirtier's character is more complex and does not simply burn contra
1,In Search of the Castaways,"At twelve, Jacques Paganel fell in love with geography after reading Captain Cook’s nautical journal; with a homemade telescope he studied the stars and papered his bedroom walls with maps he drew him",nan,1,0.90,"The character of Jacques Paganel is consistently portrayed as a passionate geographer, which aligns with his earlier fascination with geography and exploration. The narrative evidence supports his ent"
11,In Search of the Castaways,One night he saw first mate Ayrton secretly meet slave-traders; while shadowing them he was slashed across the left forearm with a dagger.,nan,0,0.80,"The narrative evidence provided does not mention the character's encounter with first mate Ayrton or the slave-traders, nor does it reference any injury. The sections focus on the environment and the "
65,In Search of the Castaways,"British officers marvelled that he handled canoe, coast and jungle with equal ease, shuttling supplies and so preparing his later berth on the Dartmouth.",nan,1,0.85,"The character's ability to handle various terrains and tasks aligns with the narrative's depiction of their journey and challenges, suggesting a consistent portrayal of skills and adaptability."
107,The Count of Monte Cristo,Napoleon’s triumph at Waterloo ended his hopes; in 1815 he withdrew from active plotting and turned to family affairs.,Political Intrigue and Personal Ambition,0,0.70,"The provided content discusses Napoleon's withdrawal from political plotting, which is a historical context, while the narrative evidence focuses on personal relationships and emotional responses, lac"
66,In Search of the Castaways,"Lord Glenarvan met him briefly at a London Royal Geographical Society dinner, was struck by his encyclopaedic knowledge of mountains and seas and hired him at once as guide for the South-American inte",nan,1,0.90,"The narrative evidence supports the introduction of Monsieur Paganel as a knowledgeable guide, aligning with Lord Glenarvan's decision to hire him based on his expertise, which is consistent with the "
89,The Count of Monte Cristo,"**Turning Point**: Arguing for procedural justice at Louis XVI’s trial (1793) he was driven from the inner circle, an experience that later anchored his insistence on legal formalism.",Political Awakening in Youth,0,0.80,"The character of the Count of Monte Cristo, Edmond Dantès, does not engage in political arguments during Louis XVI's trial, as he is primarily focused on personal revenge and transformation after his "
34,In Search of the Castaways,He found ship’s papers that mentioned an illicit Australian land deal by a British peer and planned to trade the information for a pardon.,nan,0,0.80,"The narrative evidence provided does not support the claim about ship's papers and an illicit Australian land deal. Instead, it discusses geographical features and a conversation about Patagonia, whic"
99,The Count of Monte Cristo,"Born into a Parisian legal family, he absorbed his father’s staunch republicanism and his mother’s gentler sensibility, learning to balance reason with feeling.",Early Life and Political Awakening,0,0.70,"The provided content describes the early life and political awakening of the Count of Monte Cristo, focusing on his upbringing and the influence of his parents. However, the narrative evidence section"
123,The Count of Monte Cristo,"In Rome he and Noirtier de Villefort studied Napoleon’s secret letters together, then quarrelled over whether to publish their contents.",Foreshadowing of Relationships,1,0.80,"The content reflects the complex relationships and tensions between characters, particularly Villefort's cautious nature regarding authority and secrets, which aligns with the themes of betrayal and t"
116,The Count of Monte Cristo,"In Lisbon he backed constitutionalist Prince Pedro, was branded a Jacobin plotter out to poison King John VI and fled conservatives’ pursuit.",The Origin of Political Intrigue,0,0.70,"The content about the Count of Monte Cristo's political involvement in Lisbon does not align with the character's established narrative in the book, which focuses more on his personal vendetta and tra"
43,In Search of the Castaways,"Suspected of colluding with the enemy, he panicked, slipped away in a lifeboat under darkness and fled to the Southern Hemisphere.",nan,0,0.80,"The character's actions of fleeing in a lifeboat under darkness do not align with the narrative evidence provided, which focuses on interactions and events involving Glenarvan and Thalcave, without an"
108,The Count of Monte Cristo,"He married a gentle apolitical woman, hoping domestic peace would replace political strife, and pinned on his son Villefort the hope that the boy would carry his ideals forward.",The Complexity of Family and Personal Life,0,0.70,The character of the Count of Monte Cristo is primarily focused on themes of revenge and personal transformation rather than domestic peace and political ideals. The provided content suggests a focus 
128,The Count of Monte Cristo,"His invisible-ink formula came from temple-mural restoration in India, first used to rescue local epics the colonists had defaced.",The Origin of the Key Artifact,0,0.80,"The mention of an invisible-ink formula related to temple-mural restoration in India does not align with the historical and thematic context of 'The Count of Monte Cristo,' which is set in early 19th-"
29,In Search of the Castaways,The night before the mate was hanged he pressed a dagger engraved with his family crest into the boy’s hand.,nan,0,0.80,The mention of the mate pressing a dagger into the boy's hand suggests a significant emotional or narrative moment that does not align with the adventurous and light-hearted tone of the subsequent sec
69,In Search of the Castaways,At seventeen he was poisoned by an uncle during a succession struggle; manuka-bark saved him and left his nature darker. To obtain powder against the colonists he led thirty warriors against the Frenc,nan,0,0.80,"The character's backstory involving dark actions and a violent past does not align with the narrative tone and content of the provided sections, which focus on adventure and survival rather than moral"
50,In Search of the Castaways,He saved an old shepherd bitten by a viper; in gratitude the man gave him a secret map of pampas water-holes and taught him that a guide’s duty is to keep life moving.,nan,1,0.80,The narrative evidence provided does not contradict the character's actions or the events described in the content. The mention of saving a shepherd and receiving a map aligns with the adventurous and
5,In Search of the Castaways,"During an Algerian geological survey he shielded a box of specimens in a sand-storm, was struck on the head and afterwards often mixed up dates and directions.",nan,1,0.90,"The character's confusion with dates and directions due to a head injury aligns with the narrative's depiction of the challenges faced during their journey, suggesting a coherent development of the ch"
39,In Search of the Castaways,"After discharge he adopted the alias Ben Joyce and shipped on the Liverpool–Lisbon trader, forming a mentor-friend bond with Captain Dewey and second mate Eddie.",nan,0,0.80,"The character mentioned in the content adopts the alias Ben Joyce and forms a bond with Captain Dewey, but the narrative evidence provided does not reference this character or their actions, focusing "
19,In Search of the Castaways,Because he spoke both French and English he was posted to a Mediterranean merchant fleet where he learned basic seamanship and celestial navigation.,nan,1,0.90,"The character's ability to speak both French and English and his experience in a Mediterranean merchant fleet aligns with the narrative's focus on exploration and navigation, suggesting a coherent bac"
113,The Count of Monte Cristo,"Born in Parma to a theological family—his father studied ancient manuscripts, his mother wrote poetry in several tongues.",Early Academic Background,0,0.80,"The character of the Count of Monte Cristo, originally Edmond Dantès, does not have a background that aligns with being born to a theological family in Parma. His origins are more humble, and he is no"
139,The Count of Monte Cristo,"Enlightenment ideals of liberty, equality and fraternity sustained him, turning even the dungeon into a classroom for hope.",Addendum to Character Relationships,1,0.90,"The Count of Monte Cristo embodies Enlightenment ideals as he transforms his suffering into a source of strength and hope, which aligns with the narrative evidence of his interactions and reflections "
71,In Search of the Castaways,"During the north-island war he let troops burn an empty village, lured them into a swamp and battered them with captured European cannon; the victory won him the name “Bone-Eater,” but shrapnel crippl",nan,0,0.80,"The character described in the content does not appear to align with the narrative evidence provided, which focuses on Paganel and the ship's journey rather than any character named 'Bone-Eater' or ev"
26,In Search of the Castaways,"Born in Liverpool’s slums to an alcoholic sailor father and a mother who died of tuberculosis while he was young, he watched his father be transported for smuggling and then endured an orphanage where",nan,0,0.80,"The character's background suggests a deep-seated disdain for authority due to his traumatic upbringing, which does not align with the sections that depict a more respectful attitude towards authority"
117,The Count of Monte Cristo,While escaping he hid lifetime research manuscripts in a Madeira monastery cellar—the eventual clue to Monte Cristo’s treasure.,The Origin of Political Intrigue,0,0.70,"The provided content about hiding manuscripts in a monastery does not align with the narrative evidence, which focuses on different themes such as archaeology and personal relationships, without any m"
6,In Search of the Castaways,"In a Marseille waterfront bar he met young Captain Grant; a fierce argument over Magellan Strait tides almost came to blows, but ended in mutual respect and an exchange of pocket-watches.",nan,0,0.80,"The content mentions a fierce argument between Captain Grant and another character in a bar, which does not align with the emotional turmoil and resolution depicted in the sections about Britannia and"
76,In Search of the Castaways,"He carried a European pocket-watch taken from the French mate, its inner lid holding a lock of Julia’s hair, which explained both his grasp of mechanical time and his disgust for Christian objects.",nan,0,0.80,"The character's possession of a European pocket-watch and a lock of hair suggests a personal and emotional connection, which contrasts with the narrative's focus on adventure and exploration. The ment"
17,In Search of the Castaways,"His father died early; his mother remarried a French officer, so the boy grew up fluent in English and French, later adding Spanish from an English tutor.",nan,1,0.90,"The character's background of being fluent in multiple languages aligns with the narrative's focus on diverse skills and adaptability, as seen in the sections discussing equestrian skills and sailing,"
20,In Search of the Castaways,After a failed attempt to save a drowning comrade he was injured; the naval commander’s praise when he recovered left him with a strong sense of duty toward rescue.,nan,1,0.80,"The character's sense of duty toward rescue aligns with the narrative's themes of bravery and the urgency of saving comrades, as illustrated in the sections where characters are actively searching for"
10,In Search of the Castaways,While recording thirty-two dialects along the Murray River he was expelled by British colonists; after his notes were burned he vowed to “measure every hidden truth with my own feet.”,nan,0,0.80,"The character mentioned in the content is not present in the narrative evidence provided, and there is no clear connection between the character's actions and the events described in the sections."
122,The Count of Monte Cristo,At a Vienna-congress salon he briefly watched young prosecutor Villefort tamper with evidence against an Italian revolutionary.,Foreshadowing of Relationships,1,0.80,"The mention of Villefort tampering with evidence aligns with his character as a prosecutor who is willing to manipulate the law for personal gain, which is consistent with his actions throughout the n"
62,In Search of the Castaways,"Loss turned him taciturn, acting more than speaking; he felt deep pity for sufferers and stayed calmly watchful toward oppressors.",nan,1,0.80,"The character's taciturn nature and watchfulness align with the narrative evidence, as he is engaged in teaching and guiding, reflecting a deep sense of responsibility and empathy towards others."
36,In Search of the Castaways,Ritual disguise: the Bible-quoting habit he had picked up as a mission pupil became a mask for his emotions.,nan,0,0.70,"The character's emotional mask described in the quote does not align with the narrative evidence provided, which focuses on external events and settings rather than internal emotional states or disgui"
73,In Search of the Castaways,"Finding missionaries wrapping opium in Bible pages, he ordered every book burned except the sheepskin map showing ancestral migration routes.",nan,0,0.80,"The mention of missionaries wrapping opium in Bible pages and the subsequent order to burn books does not align with the themes and context of 'In Search of the Castaways,' which focuses on adventure "
98,The Count of Monte Cristo,"Hidden Waterloo-era diplomatic letters in his study ensured that political foes dared not silence him, explaining how he could still shield Valentine after losing the power of speech.",Resolution of Original Issues,0,0.70,"The content suggests that the Count of Monte Cristo uses hidden diplomatic letters to maintain influence and protect Valentine, which is inconsistent with the narrative evidence provided. The sections"
25,In Search of the Castaways,On the eve of sailing aboard Duncan he met ex-General von Wallace and obtained notes on South-American inland geography and native customs.,nan,1,0.90,"The character's actions and interactions align with the narrative context of the voyage aboard the Duncan, as they are preparing for a mission to rescue shipwrecked sailors, which is consistent with t"
120,The Count of Monte Cristo,"He invented a “salt-blood” ink that revealed under heat, used it to help a Corsican patriot escape, and was transferred to the more secure Château d’If for the trouble.",Life in Captivity Before Château d'If,0,0.70,"The content describes an event involving the invention of a 'salt-blood' ink and a Corsican patriot, which does not align with the established narrative of the Count of Monte Cristo, particularly duri"
105,The Count of Monte Cristo,"He became head of a clandestine anti-Bonaparte society, organising underground actions to sap the Emperor’s support.",Political Intrigue and Personal Ambition,0,0.70,The Count of Monte Cristo is primarily focused on themes of revenge and personal transformation rather than political intrigue or anti-Bonapartist activities. The provided content does not align with 
57,In Search of the Castaways,"Early trauma: at seven his father vanished in a local uprising, at nine his mother died of illness; a banished Jesuit, Father Leclere, raised him in a mountain mission.",nan,0,0.80,"The character's early trauma and upbringing suggest a background of loss and resilience, which is not reflected in the sections provided. The sections focus on a voyage and interactions among characte"
106,The Count of Monte Cristo,At a society meeting he met Fernand; though on opposite sides they used each other—Noirtier exploiting Fernand’s military information.,Political Intrigue and Personal Ambition,1,0.90,"The narrative evidence reflects the themes of political intrigue and personal ambition, particularly in the context of social gatherings and relationships among the characters, which aligns with the c"
118,The Count of Monte Cristo,"French gendarmes seized him at Toulon, accusing him of planning to bomb Bourbon restoration festivities; the real motive was that his code-breaking threatened a cardinal’s secret correspondence.",The Origin of Political Intrigue,0,0.80,"The content describes a scenario involving political intrigue and a character's arrest due to code-breaking, which does not align with the narrative evidence provided. The sections focus on interperso"
126,The Count of Monte Cristo,His sister was burned as a witch for spurning a nobleman; the injustice fed a lifelong hatred of institutional rot.,The Formation of Spiritual Traits,0,0.80,"The character of the Count of Monte Cristo, Edmond Dantès, is driven by personal betrayal and injustice, primarily stemming from his wrongful imprisonment and the actions of those who conspired agains"
4,In Search of the Castaways,"Sitting in on lectures uninvited, he was thrown out after shouting “The secret is on the 37th southern parallel!” while the professor explained Earth’s equatorial bulge.",nan,0,0.80,"The character's action of shouting about the 37th southern parallel during a lecture does not align with the narrative evidence provided, which focuses on geographical descriptions and the absence of "
125,The Count of Monte Cristo,"In India he watched British troops crush a rising; to spare the rebel leader further torture he gave the man a merciful death, shaping his ethic of “killing when kindness demands it.”",The Formation of Spiritual Traits,1,0.90,"The character of the Count of Monte Cristo is portrayed as someone who grapples with complex moral decisions, including the idea of mercy in death. The provided content aligns with his established tra"
40,In Search of the Castaways,"Skilled in shipboard medicine, he secretly stitched soldiers’ wounds yet distrusted shipmates, keeping a mental log and cultivating a “save-yourself-first” instinct.",nan,0,0.80,"The character's distrust of shipmates and 'save-yourself-first' instinct conflicts with the collaborative and resourceful actions described in the narrative evidence, where characters work together to"
96,The Count of Monte Cristo,When he saw that Valentine had inherited his trembling hands he began training her to communicate by eye movement (1819); after his own paralysis the method evolved into a blink-code.,Completing Character Relationships,1,0.90,"The narrative evidence supports the character's development and relationships, particularly with Valentine and Noirtier, aligning with the described training in communication methods due to physical l"
45,In Search of the Castaways,"Watching natives slaughtered in a raid re-awakened his conscience: he cached weapons, torched the trader and raised a stone marker beside the blaze to record his regret and repentance.",nan,1,0.80,The character's actions of feeling regret and taking steps to rectify his past wrongs align with the themes of moral awakening and redemption present in the narrative. The sections provided reflect a 
54,In Search of the Castaways,"He briefly loved Chilean doctor Mariana, who wanted him to settle down but was refused; she died nursing cholera-stricken Indians. When he burned her belongings he kept the brass compass she had given",nan,0,0.80,"The character's brief love for Mariana and her death are mentioned, but the narrative evidence provided does not reference this relationship or its emotional impact, indicating a lack of continuity in"
8,In Search of the Castaways,While being helped by a native tribe he won their trust by sketching star-maps and in return learned tracking techniques and herbal lore.,nan,0,0.70,The narrative evidence provided does not include any mention of the character winning the trust of a native tribe or engaging in activities such as sketching star-maps or learning tracking techniques 
32,In Search of the Castaways,"During clashes between tribe and settlers he steered both sides toward mutual ruin, then welded the survivors into an underground intelligence web that straddled the two worlds.",nan,0,0.70,"The narrative evidence provided does not support the claim of a character steering both sides toward mutual ruin and creating an underground intelligence web. Instead, it focuses on practical instruct"
14,In Search of the Castaways,Mutual recognition with Major McNabbs: both had lived among the Charrúa and confirmed their identities by exchanging certain hand signs.,nan,1,0.90,"The mutual recognition between characters through hand signs aligns with the narrative's focus on communication and identity, supporting the established themes and character interactions."
63,In Search of the Castaways,With the rescue squad he learned enough nautical English to converse with Captain Horace and the sailors.,nan,1,0.90,"The character's ability to learn nautical English to converse with Captain Horace and the sailors aligns with the narrative's focus on maritime adventure and the interactions among the crew, as seen i"
41,In Search of the Castaways,"In Lisbon he unwittingly helped a black-marketeer dodge duty, was introduced to Duncan’s smuggling ring and, using his sea-craft, slipped past patrols several times; guilt nibbled at him yet profit lu",nan,0,0.80,"The character's involvement in smuggling and black-market activities does not align with the noble and adventurous traits typically associated with Lord Glenarvan and his yacht, the Duncan, suggesting"
23,In Search of the Castaways,"After his mother died she entrusted him with the care of his toddler half-brother; the child was later taken to Europe by the French stepfather and never heard from again, leaving Paganel with a lifel",nan,1,0.90,The narrative evidence provided does not contradict the character's background and emotional state regarding his half-brother's fate. Paganel's dread of separation aligns with the context of his past 
90,The Count of Monte Cristo,"To obtain royalist intelligence from the Vendée he married Éloïse, daughter of a ruined local noble (1800); when he learned she secretly backed the Chouans he arranged her “accidental” drowning (1802)",A Double Life in the Napoleonic Era,0,0.80,"The character of the Count of Monte Cristo, Edmond Dantès, is portrayed as a complex figure driven by revenge and transformation. The provided content suggests a backstory involving deceit and manipul"
100,The Count of Monte Cristo,"Growing up in Paris he devoured Voltaire and Rousseau, burning with enthusiasm for liberty and equality.",Early Life and Political Awakening,0,0.80,"The provided content about the Count of Monte Cristo's early life and political awakening does not align with the narrative evidence, which focuses on events in his dungeon and interactions at social "
138,The Count of Monte Cristo,Long political warfare severed him from his family; the once-noble house declined and could offer no help.,Addendum to Character Relationships,1,0.90,"The narrative evidence provided does not contradict the character's background or relationships. The Count of Monte Cristo, formerly Edmond Dantès, is indeed a mysterious figure shaped by his past, in"
130,The Count of Monte Cristo,What seemed an epileptic fit was in fact sudden death from years of drinking prison water laced with lead.,The Answer to a Lingering Question,0,0.80,"The narrative evidence does not support the claim that the character's death was caused by drinking prison water laced with lead, as the provided sections do not mention lead poisoning or its effects."
48,In Search of the Castaways,"Passing as a half-caste gaucho he worked on a ranch, picked up Spanish and the settlers’ rules, yet guarded his tribe’s herb lore and nature beliefs.",nan,1,0.90,"The character's background as a half-caste gaucho aligns with the narrative's depiction of diverse cultural interactions and survival in challenging environments, supporting the overall themes of adap"
